[ 2025-11-06 22:49:25,039 ] 29 root - INFO - Starting data ingestion
[ 2025-11-06 22:49:26,110 ] 69 root - INFO - Performed train test split on the dataframe
[ 2025-11-06 22:49:26,110 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-06 22:49:26,110 ] 79 root - INFO - Exporting train and test file path.
[ 2025-11-06 22:49:26,115 ] 88 root - INFO - Exported train and test file path.
[ 2025-11-06 22:49:26,115 ] 31 root - INFO - Data ingestion completed
[ 2025-11-06 22:49:26,119 ] 40 root - INFO - Starting data validation
[ 2025-11-06 22:49:26,145 ] 34 root - INFO - Required number of columns:5
[ 2025-11-06 22:49:26,145 ] 35 root - INFO - Data frame has columns:8
[ 2025-11-06 22:49:26,145 ] 34 root - INFO - Required number of columns:5
[ 2025-11-06 22:49:26,145 ] 35 root - INFO - Data frame has columns:8
[ 2025-11-06 22:49:26,158 ] 42 root - INFO - Data validation completed
[ 2025-11-06 22:49:26,158 ] 51 root - INFO - Starting data transformation
[ 2025-11-06 22:49:26,158 ] 255 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-06 22:49:26,158 ] 257 root - INFO - Starting data transformation
[ 2025-11-06 22:49:26,161 ] 267 root - INFO - Preprocessing categorical features
[ 2025-11-06 22:49:26,161 ] 143 root - INFO - Preprocessing categorical features for train
[ 2025-11-06 22:49:26,165 ] 63 root - INFO - Creating user-aware features for train
[ 2025-11-06 22:49:26,165 ] 39 root - INFO - Calculating user behavior profiles
[ 2025-11-06 22:49:26,166 ] 342 root - ERROR - Data transformation failed: "Column(s) ['time_of_day_encoded'] do not exist"
